1,wow loved this place,Positif,Negatif
2,crust is not good,Negatif,Negatif
3,stopped by during the late may bank holiday off rick steve recommendation and loved it,Positif,Negatif
4,not tasty and the texture was just nasty,Negatif,Negatif
5,the selection on the menu was great and so were the prices,Positif,Negatif
6,now i am getting angry and i want my damn pho,Negatif,Negatif
7,the fries were great too,Positif,Negatif
8,honeslty it didnt taste that fresh,Negatif,Negatif
9,a great touch,Positif,Negatif
10,the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer,Negatif,Negatif
11,service was very prompt,Positif,Negatif
12,would not go back,Negatif,Negatif
13,i tried the cape cod ravoli chicken with cranberrymmmm,Positif,Negatif
14,the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced,Negatif,Negatif
15,highly recommended,Positif,Negatif
16,i was disgusted because i was pretty sure that was human hair,Negatif,Negatif
17,the food amazing,Positif,Negatif
18,i was shocked because no signs indicate cash only,Negatif,Negatif
19,service is also cute,Positif,Negatif
20,waitress was a little slow in service,Negatif,Negatif
21,i could care less the interior is just beautiful,Positif,Negatif
22,this place is not worth your time  let alone vegas,Negatif,Negatif
23,so they performed,Positif,Negatif
24,did not like at all,Negatif,Negatif
25,thats rightthe red velvet cakeohhh this stuff is so good,Positif,Negatif
26,the burrittos blah,Negatif,Negatif
27,this hole in the wall has great mexican street tacos and friendly staff,Positif,Negatif
28, they never brought a salad we asked for,Negatif,Negatif
29,also there are combos like a burger fries and beer for 23 which is a decent deal,Positif,Negatif
30,took an hour to get our food only 4 tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed,Negatif,Negatif
31,i found this place by accident and i could not be happier,Positif,Negatif
32,the worst was the salmon sashimi,Negatif,Negatif
33,overall i like this place a lot,Positif,Negatif
34,this was like the final blow,Negatif,Negatif
35,the only redeeming quality of the restaurant was that it was very inexpensive,Positif,Negatif
36,seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere,Negatif,Negatif
37,ample portions and good prices,Positif,Negatif
38,poor service the waiter made me feel like i was stupid every time he came to the table,Negatif,Negatif
39,my first visit to hiro was a delight,Positif,Negatif
40,service sucks,Negatif,Negatif
41,the shrimp tender and moist,Positif,Negatif
42,there is not a deal good enough that would drag me into that establishment again,Negatif,Negatif
43,on a positive note our server was very attentive and provided great service,Positif,Negatif
44,hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didnt want to eat it for fear of getting sick,Negatif,Negatif
45,the only thing i did like was the prime rib and dessert section,Positif,Negatif
46,frozen pucks of disgust with some of the worst people behind the register,Negatif,Negatif
47,the burger is good beef cooked just right,Positif,Negatif
48,its too bad the food is so damn generic,Negatif,Negatif
49,if you want a sandwich just go to any firehouse,Positif,Negatif
50,they have horrible attitudes towards customers and talk down to each one when customers dont enjoy their food,Negatif,Negatif
51,my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing,Positif,Negatif
52,the heart attack grill in downtown vegas is an absolutely flatlined excuse for a restaurant,Negatif,Negatif
53,we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside,Positif,Negatif
54,not much seafood and like 5 strings of pasta at the bottom,Negatif,Negatif
55,he came running after us when he realized my husband had left his sunglasses on the table,Positif,Negatif
56,the ripped banana was not only ripped but petrified and tasteless,Negatif,Negatif
57,their chow mein is so good,Positif,Negatif
58,at least think to refill my water before i struggle to wave you over for 10 minutes,Negatif,Negatif
59,the portion was huge,Positif,Negatif
60,we got the food and apparently they have never heard of salt and the batter on the fish was chewy,Negatif,Negatif
61,loved itfriendly servers great food wonderful and imaginative menu,Positif,Negatif
62,the service was meh,Negatif,Negatif
63,the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked,Positif,Negatif
64,it took over 30 min to get their milkshake which was nothing more than chocolate milk,Negatif,Negatif
65,this place receives stars for their appetizers,Positif,Negatif
66,i guess i should have known that this place would suck because it is inside of the excalibur but i didnt use my common sense,Negatif,Negatif
67,the cocktails are all handmade and delicious,Positif,Negatif
68,the scallop dish is quite appalling for value as well,Negatif,Negatif
69,wed definitely go back here again,Positif,Negatif
70,2 times  very bad customer service ,Negatif,Negatif
71,we are so glad we found this place,Positif,Negatif
72,there is so much good food in vegas that i feel cheated for wasting an eating opportunity by going to rice and company,Negatif,Negatif
73,great food and service huge portions and they give a military discount,Positif,Negatif
74,coming here is like experiencing an underwhelming relationship where both parties cant wait for the other person to ask to break up,Negatif,Negatif
75,always a great time at dos gringos,Positif,Negatif
76,walked in and the place smelled like an old grease trap and only 2 others there eating,Negatif,Negatif
77,updatewent back for a second time and it was still just as amazing,Positif,Negatif
78,the turkey and roast beef were bland,Negatif,Negatif
79,a great way to finish a great,Positif,Negatif
80,the pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old,Negatif,Negatif
81,the deal included 5 tastings and 2 drinks and jeff went above and beyond what we expected,Positif,Negatif
82,the poor batter to meat ratio made the chicken tenders very unsatisfying,Negatif,Negatif
83, really really good rice all the time,Positif,Negatif
84,in summary this was a largely disappointing dining experience,Negatif,Negatif
85,the sweet potato fries were very good and seasoned well,Positif,Negatif
86,never been to hard rock casino before will never ever step forward in it again,Negatif,Negatif
87,today is the second time ive been to their lunch buffet and it was pretty good,Positif,Negatif
88,say bye bye to your tip lady,Negatif,Negatif
89,this place has it,Positif,Negatif
90,well never go again,Negatif,Negatif
91,i love the pho and the spring rolls oh so yummy you have to try,Positif,Negatif
92,it was not good,Negatif,Negatif
93,all i have to say is the food was amazing,Positif,Negatif
94,real sushi lovers lets be honest  yama is not that good,Negatif,Negatif
95,omelets are to die for,Positif,Negatif
96,at least 40min passed in between us ordering and the food arriving and it wasnt that busy,Negatif,Negatif
97,everything was fresh and delicious,Positif,Negatif
98,it was pretty gross,Negatif,Negatif
99,its like a really sexy party in your mouth where youre outrageously flirting with the hottest person at the party,Positif,Negatif
100,ive had better atmosphere,Negatif,Negatif
101,best breakfast buffet,Positif,Positif
102,kind of hard to mess up a steak but they did,Negatif,Positif
103,will be back again,Positif,Positif
104,although i very much liked the look and sound of this place the actual experience was a bit disappointing,Negatif,Positif
105,food arrived quickly,Positif,Positif
106,i just dont know how this place managed to served the blandest food i have ever eaten when they are preparing indian cuisine,Negatif,Positif
107,on the up side their cafe serves really good food,Positif,Positif
108,worst service to boot but that is the least of their worries,Negatif,Positif
109,our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go,Positif,Positif
110,host staff were for lack of a better word bitches,Negatif,Positif
111,the only good thing was our waiter he was very helpful and kept the bloddy marys coming,Positif,Positif
112,bland not a liking this place for a number of reasons and i dont want to waste time on bad reviewing ill leave it at that,Negatif,Positif
113,best buffet in town for the price you cannot beat it,Positif,Positif
114,i wouldnt return,Negatif,Positif
115,i loved their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious,Positif,Positif
116,this place is way too overpriced for mediocre food,Negatif,Positif
117,this is one of the better buffets that i have been to,Positif,Positif
118,the management is rude,Negatif,Positif
119,so we went to tigerlilly and had a fantastic afternoon,Positif,Positif
120,he was extremely rude and really there are so many other restaurants i would love to dine at during a weekend in vegas,Negatif,Positif
121,the food was delicious our bartender was attentive and personable and we got a great deal,Positif,Positif
122,dont do it,Negatif,Positif
123,the ambience is wonderful and there is music playing,Positif,Positif
124,the waiter wasnt helpful or friendly and rarely checked on us,Negatif,Positif
125,will go back next trip out,Positif,Positif
126,my husband and i ate lunch here and were very disappointed with the food and service,Negatif,Positif
127,sooooo good,Positif,Positif
128,and the red curry had so much bamboo shoots and wasnt very tasty to me,Negatif,Positif
129,this is a really fantastic thai restaurant which is definitely worth a visit,Positif,Positif
130,the menu is always changing food quality is going down  service is extremely slow,Negatif,Positif
131,nice spicy and tender,Positif,Positif
132,the service was a little slow  considering that were served by 3 people servers so the food was coming in a slow pace,Negatif,Positif
133,good prices,Positif,Positif
134,i give it 2 thumbs down,Negatif,Positif
135,check it out,Positif,Positif
136,we watched our waiter pay a lot more attention to other tables and ignore us,Negatif,Positif
137,service was fine and the waitress was friendly,Positif,Positif
138,we waited for forty five minutes in vain,Negatif,Positif
139,the guys all had steaks and our steak loving son who has had steak at the best and worst places said it was the best steak hes ever eaten,Positif,Positif
140,crostini that came with the salad was stale,Negatif,Positif
141,we thought youd have to venture further away to get good sushi but this place really hit the spot that night,Positif,Positif
142,unfortunately we must have hit the bakery on leftover day because everything we ordered was stale,Negatif,Positif
143,phenomenal food service and ambiance,Positif,Positif
144,i came back today since they relocated and still not impressed,Negatif,Positif
145,definitely worth venturing off the strip for the pork belly will return next time im in vegas,Positif,Positif
146,avoid at all cost,Negatif,Positif
147,penne vodka excellent,Positif,Positif
148,so dont go there if you are looking for good food,Negatif,Positif
149,they have a good selection of food including a massive meatloaf sandwich a crispy chicken wrap a delish tuna melt and some tasty burgers,Positif,Positif
150,ive never been treated so bad,Negatif,Positif
151,delicious nyc bagels good selections of cream cheese real lox with capers even,Positif,Positif
152,we also ordered the spinach and avocado salad the ingredients were sad and the dressing literally had zero taste,Negatif,Positif
153,great subway in fact its so good when you come here every other subway will not meet your expectations,Positif,Positif
154,perhaps i caught them on an off night judging by the other reviews but im not inspired to go back,Negatif,Positif
155,i had a seriously solid breakfast here,Positif,Positif
156,the service here leaves a lot to be desired,Negatif,Positif
157,this is one of the best bars with food in vegas,Positif,Positif
158,we literally sat there for 20 minutes with no one asking to take our order,Negatif,Positif
159,my drink was never empty and he made some really great menu suggestions,Positif,Positif
160,the burger had absolutely no flavor  the meat itself was totally bland the burger was overcooked and there was no charcoal flavor,Negatif,Positif
161,nice blanket of moz over top but i feel like this was done to cover up the subpar food,Positif,Positif
162,i also decided not to send it back because our waitress looked like she was on the verge of having a heart attack,Negatif,Positif
163,the bathrooms are clean and the place itself is well decorated,Positif,Positif
164,i dressed up to be treated so rudely,Negatif,Positif
165,my fiancã© and i came in the middle of the day and we were greeted and seated right away,Positif,Positif
166,it was probably dirt,Negatif,Positif
167,this is a great restaurant at the mandalay bay,Positif,Positif
168,the food sucked which we expected but it sucked more than we could have imagined,Negatif,Positif
169,some highlights  great quality nigiri here,Positif,Positif
